Date,Real,Naive,SNaive7,"ARIMA(1, 1, 1)"
2023-12-30,42156.90234375,42099.40234375,43739.54296875,29177.787844599836
2023-12-31,42265.1875,42156.90234375,43016.1171875,29177.787844599836
2024-01-01,44167.33203125,42265.1875,43613.140625,29177.787844599836
2024-01-02,44957.96875,44167.33203125,42520.40234375,29177.787844599836
2024-01-03,42848.17578125,44957.96875,43442.85546875,29177.787844599836
2024-01-04,44179.921875,42848.17578125,42627.85546875,29177.787844599836
2024-01-05,44162.69140625,44179.921875,42099.40234375,29177.787844599836
2024-01-06,43989.1953125,44162.69140625,42156.90234375,29177.787844599836
2024-01-07,43943.09765625,43989.1953125,42265.1875,29177.787844599836
2024-01-08,46970.50390625,43943.09765625,44167.33203125,29177.787844599836
2024-01-09,46139.73046875,46970.50390625,44957.96875,29177.787844599836
2024-01-10,46627.77734375,46139.73046875,42848.17578125,29177.787844599836
2024-01-11,46368.5859375,46627.77734375,44179.921875,29177.787844599836
2024-01-12,42853.16796875,46368.5859375,44162.69140625,29177.787844599836
2024-01-13,42842.3828125,42853.16796875,43989.1953125,29177.787844599836
2024-01-14,41796.26953125,42842.3828125,43943.09765625,29177.787844599836
2024-01-15,42511.96875,41796.26953125,46970.50390625,29177.787844599836
2024-01-16,43154.9453125,42511.96875,46139.73046875,29177.787844599836
2024-01-17,42742.65234375,43154.9453125,46627.77734375,29177.787844599836
2024-01-18,41262.05859375,42742.65234375,46368.5859375,29177.787844599836
2024-01-19,41618.40625,41262.05859375,42853.16796875,29177.787844599836
2024-01-20,41665.5859375,41618.40625,42842.3828125,29177.787844599836
2024-01-21,41545.78515625,41665.5859375,41796.26953125,29177.787844599836
2024-01-22,39507.3671875,41545.78515625,42511.96875,29177.787844599836
2024-01-23,39845.55078125,39507.3671875,43154.9453125,29177.787844599836
2024-01-24,40077.07421875,39845.55078125,42742.65234375,29177.787844599836
2024-01-25,39933.80859375,40077.07421875,41262.05859375,29177.787844599836
2024-01-26,41816.87109375,39933.80859375,41618.40625,29177.787844599836
2024-01-27,42120.0546875,41816.87109375,41665.5859375,29177.787844599836
2024-01-28,42035.59375,42120.0546875,41545.78515625,29177.787844599836
2024-01-29,43288.24609375,42035.59375,39507.3671875,29177.787844599836
2024-01-30,42952.609375,43288.24609375,39845.55078125,29177.787844599836
2024-01-31,42582.60546875,42952.609375,40077.07421875,29177.787844599836
2024-02-01,43075.7734375,42582.60546875,39933.80859375,29177.787844599836
2024-02-02,43185.859375,43075.7734375,41816.87109375,29177.787844599836
2024-02-03,42992.25,43185.859375,42120.0546875,29177.787844599836
2024-02-04,42583.58203125,42992.25,42035.59375,29177.787844599836
2024-02-05,42658.66796875,42583.58203125,43288.24609375,29177.787844599836
2024-02-06,43084.671875,42658.66796875,42952.609375,29177.787844599836
2024-02-07,44318.22265625,43084.671875,42582.60546875,29177.787844599836
2024-02-08,45301.56640625,44318.22265625,43075.7734375,29177.787844599836
2024-02-09,47147.19921875,45301.56640625,43185.859375,29177.787844599836
2024-02-10,47771.27734375,47147.19921875,42992.25,29177.787844599836
2024-02-11,48293.91796875,47771.27734375,42583.58203125,29177.787844599836
2024-02-12,49958.22265625,48293.91796875,42658.66796875,29177.787844599836
2024-02-13,49742.44140625,49958.22265625,43084.671875,29177.787844599836
2024-02-14,51826.6953125,49742.44140625,44318.22265625,29177.787844599836
2024-02-15,51938.5546875,51826.6953125,45301.56640625,29177.787844599836
2024-02-16,52160.203125,51938.5546875,47147.19921875,29177.787844599836
2024-02-17,51662.99609375,52160.203125,47771.27734375,29177.787844599836
2024-02-18,52122.546875,51662.99609375,48293.91796875,29177.787844599836
2024-02-19,51779.14453125,52122.546875,49958.22265625,29177.787844599836
2024-02-20,52284.875,51779.14453125,49742.44140625,29177.787844599836
2024-02-21,51839.1796875,52284.875,51826.6953125,29177.787844599836
2024-02-22,51304.97265625,51839.1796875,51938.5546875,29177.787844599836
2024-02-23,50731.94921875,51304.97265625,52160.203125,29177.787844599836
2024-02-24,51571.1015625,50731.94921875,51662.99609375,29177.787844599836
2024-02-25,51733.23828125,51571.1015625,52122.546875,29177.787844599836
2024-02-26,54522.40234375,51733.23828125,51779.14453125,29177.787844599836
2024-02-27,57085.37109375,54522.40234375,52284.875,29177.787844599836
2024-02-28,62504.7890625,57085.37109375,51839.1796875,29177.787844599836
2024-02-29,61198.3828125,62504.7890625,51304.97265625,29177.787844599836
2024-03-01,62440.6328125,61198.3828125,50731.94921875,29177.787844599836
2024-03-02,62029.84765625,62440.6328125,51571.1015625,29177.787844599836
2024-03-03,63167.37109375,62029.84765625,51733.23828125,29177.787844599836
2024-03-04,68330.4140625,63167.37109375,54522.40234375,29177.787844599836
2024-03-05,63801.19921875,68330.4140625,57085.37109375,29177.787844599836
2024-03-06,66106.8046875,63801.19921875,62504.7890625,29177.787844599836
2024-03-07,66925.484375,66106.8046875,61198.3828125,29177.787844599836
2024-03-08,68300.09375,66925.484375,62440.6328125,29177.787844599836
2024-03-09,68498.8828125,68300.09375,62029.84765625,29177.787844599836
2024-03-10,69019.7890625,68498.8828125,63167.37109375,29177.787844599836
2024-03-11,72123.90625,69019.7890625,68330.4140625,29177.787844599836
2024-03-12,71481.2890625,72123.90625,63801.19921875,29177.787844599836
2024-03-13,73083.5,71481.2890625,66106.8046875,29177.787844599836
2024-03-14,71396.59375,73083.5,66925.484375,29177.787844599836
2024-03-15,69403.7734375,71396.59375,68300.09375,29177.787844599836
2024-03-16,65315.1171875,69403.7734375,68498.8828125,29177.787844599836
2024-03-17,68390.625,65315.1171875,69019.7890625,29177.787844599836
2024-03-18,67548.59375,68390.625,72123.90625,29177.787844599836
2024-03-19,61912.7734375,67548.59375,71481.2890625,29177.787844599836
2024-03-20,67913.671875,61912.7734375,73083.5,29177.787844599836
2024-03-21,65491.390625,67913.671875,71396.59375,29177.787844599836
2024-03-22,63778.76171875,65491.390625,69403.7734375,29177.787844599836
2024-03-23,64062.203125,63778.76171875,65315.1171875,29177.787844599836
2024-03-24,67234.171875,64062.203125,68390.625,29177.787844599836
2024-03-25,69958.8125,67234.171875,67548.59375,29177.787844599836
2024-03-26,69987.8359375,69958.8125,61912.7734375,29177.787844599836
2024-03-27,69455.34375,69987.8359375,67913.671875,29177.787844599836
2024-03-28,70744.953125,69455.34375,65491.390625,29177.787844599836
2024-03-29,69892.828125,70744.953125,63778.76171875,29177.787844599836
2024-03-30,69645.3046875,69892.828125,64062.203125,29177.787844599836
2024-03-31,71333.6484375,69645.3046875,67234.171875,29177.787844599836
2024-04-01,69702.1484375,71333.6484375,69958.8125,29177.787844599836
2024-04-02,65446.97265625,69702.1484375,69987.8359375,29177.787844599836
2024-04-03,65980.8125,65446.97265625,69455.34375,29177.787844599836
2024-04-04,68508.84375,65980.8125,70744.953125,29177.787844599836
2024-04-05,67837.640625,68508.84375,69892.828125,29177.787844599836
2024-04-06,68896.109375,67837.640625,69645.3046875,29177.787844599836
2024-04-07,69362.5546875,68896.109375,71333.6484375,29177.787844599836
2024-04-08,71631.359375,69362.5546875,69702.1484375,29177.787844599836
2024-04-09,69139.015625,71631.359375,65446.97265625,29177.787844599836
2024-04-10,70587.8828125,69139.015625,65980.8125,29177.787844599836
2024-04-11,70060.609375,70587.8828125,68508.84375,29177.787844599836
2024-04-12,67195.8671875,70060.609375,67837.640625,29177.787844599836
2024-04-13,63821.47265625,67195.8671875,68896.109375,29177.787844599836
2024-04-14,65738.7265625,63821.47265625,69362.5546875,29177.787844599836
2024-04-15,63426.2109375,65738.7265625,71631.359375,29177.787844599836
2024-04-16,63811.86328125,63426.2109375,69139.015625,29177.787844599836
2024-04-17,61276.69140625,63811.86328125,70587.8828125,29177.787844599836
2024-04-18,63512.75390625,61276.69140625,70060.609375,29177.787844599836
2024-04-19,63843.5703125,63512.75390625,67195.8671875,29177.787844599836
2024-04-20,64994.44140625,63843.5703125,63821.47265625,29177.787844599836
2024-04-21,64926.64453125,64994.44140625,65738.7265625,29177.787844599836
2024-04-22,66837.6796875,64926.64453125,63426.2109375,29177.787844599836
2024-04-23,66407.2734375,66837.6796875,63811.86328125,29177.787844599836
2024-04-24,64276.8984375,66407.2734375,61276.69140625,29177.787844599836
2024-04-25,64481.70703125,64276.8984375,63512.75390625,29177.787844599836
2024-04-26,63755.3203125,64481.70703125,63843.5703125,29177.787844599836
2024-04-27,63419.140625,63755.3203125,64994.44140625,29177.787844599836
2024-04-28,63113.23046875,63419.140625,64926.64453125,29177.787844599836
2024-04-29,63841.12109375,63113.23046875,66837.6796875,29177.787844599836
2024-04-30,60636.85546875,63841.12109375,66407.2734375,29177.787844599836
2024-05-01,58254.01171875,60636.85546875,64276.8984375,29177.787844599836
2024-05-02,59123.43359375,58254.01171875,64481.70703125,29177.787844599836
2024-05-03,62889.8359375,59123.43359375,63755.3203125,29177.787844599836
2024-05-04,63891.47265625,62889.8359375,63419.140625,29177.787844599836
